city, country, latitude, longitude
Dallas, US, 32.7763, -96.7969
Santiago, CL, -33.45, -70.66667
Los Angeles, US, 34.0544, -118.2439
Mexico City, MX, 19.41944, -99.14556
Paris, FR, 48.85658, 2.35183
London, GB, 51.50722, -0.1275
Seattle, US, 47.6038, -122.3301
São Paulo, BR, -23.5507, -46.6334
New York City, US, 40.7648, -73.9808
Houston, US, 29.7589, -95.3677
Denver, US, 39.7348, -104.9653
Stockholm, SE, 59.32944, 18.06861
Chicago, US, 41.8756, -87.6244
Madrid, ES, 40.41889, -3.69194
Berlin, DE, 52.51667, 13.38333
Brisbane, AU, -27.469, 153.0235
San Francisco, US, 37.7648, -122.463
Brooklyn, US, 40.6501, -73.9496
Oslo, NO, 59.855058, 10.814466
Amsterdam, NL, 52.378, 4.9
Dublin, IE, 53.3425, -6.26583
Atlanta, US, 33.7491, -84.3902
Guadalajara, MX, 20.66611, -103.35194
Buenos Aires, AR, -34.59972, -58.38194
Hamburg, DE, 53.55, 10
Melbourne, AU, -37.8142, 144.9632
Sydney, AU, -33.868, 151.21
Lima, PE, -12, -76.8333
Toronto, CA, 43.6529, -79.3849
Munich, DE, 48.13333, 11.56667
Miami, US, 25.7743, -80.1937
Bogotá, CO, 4.59889, -74.08083
Puebla City, MX, 19.05139, -98.21778
Barcelona, ES, 41.3825, 2.17694
Cleveland, US, 41.5052, -81.6934
Warsaw, PL, 52.21667, 21.03333
Istanbul, TR, 41.01, 28.96028
Arlington, US, 32.7356, -97.1071
Milan, IT, 45.46416, 9.19034
Perth, AU, -31.9527, 115.8605
Montreal, CA, 45.5088, -73.554
Austin, US, 30.2711, -97.7437
Puebla, MX, 19.05139, -98.21778
Auckland, NZ, -36.85, 174.78333
Glasgow, GB, 55.87, -4.27
Zurich, CH, 47.37861, 8.54
Minneapolis, US, 44.9773, -93.2655
Helsinki, FI, 60.17333, 24.94861
Philadelphia, US, 40.0115, -75.1327
Rio de Janeiro, BR, -22.911, -43.2094
Birmingham, GB, 52.48333, -1.9
Vancouver, CA, 49.2609, -123.1139
Phoenix, US, 33.4486, -112.0773
Nottingham, GB, 52.955, -1.14917
Rome, IT, 41.89306, 12.48278
Ilford, GB, 51.55881, 0.08546
Curitiba, BR, -25.4296, -49.2712
Southampton, GB, 50.90694, -1.40472
Las Vegas, US, 36.1663, -115.1492
Bristol, GB, 51.45, -2.58333
Jakarta, ID, -6.16667, 106.8
Manchester, GB, 53.46667, -2.23333
